transaction_id,payment_id,merchant_id,amount,currency,payment_method,gateway_status,gateway_timestamp,gateway_reference,failure_code,failure_reason
TXN100001,PAY100001,MRC002,15000,INR,IMPS,SUCCESS,2026-09-04T08:00:00,GW37869,,
TXN100002,PAY100002,MRC004,25000,INR,CARD,SUCCESS,2026-09-04T08:03:00,GW28726,,
TXN100003,PAY100003,MRC002,10000,INR,WALLET,SUCCESS,2026-09-04T08:06:00,GW44438,,
TXN100004,PAY100004,MRC004,15000,INR,CARD,SUCCESS,2026-09-04T08:09:00,GW57447,,
TXN100005,PAY100005,MRC005,7500,INR,UPI,FAILED,2026-09-04T08:12:00,GW16175,TIMEOUT,Payment gateway timed out
TXN100006,PAY100006,MRC002,25000,INR,NEFT,SUCCESS,2026-09-04T08:15:00,GW99192,,
TXN100007,PAY100007,MRC001,5000,INR,CARD,SUCCESS,2026-09-04T08:18:00,GW88104,,
TXN100008,PAY100008,MRC003,10000,INR,UPI,FAILED,2026-09-04T08:21:00,GW99166,TIMEOUT,Payment gateway timed out
TXN100009,PAY100009,MRC005,2500,INR,IMPS,SUCCESS,2026-09-04T08:24:00,GW24621,,
TXN100010,PAY100010,MRC002,7500,INR,UPI,SUCCESS,2026-09-04T08:27:00,GW44522,,
TXN100011,PAY100011,MRC002,10000,INR,UPI,SUCCESS,2026-09-04T08:30:00,GW91959,,
TXN100012,PAY100012,MRC005,15000,INR,NEFT,SUCCESS,2026-09-04T08:33:00,GW30032,,
TXN100013,PAY100013,MRC005,10000,INR,UPI,SUCCESS,2026-09-04T08:36:00,GW88504,,
TXN100014,PAY100014,MRC001,1000,INR,IMPS,SUCCESS,2026-09-04T08:39:00,GW50306,,
TXN100015,PAY100015,MRC002,15000,INR,UPI,FAILED,2026-09-04T08:42:00,GW21226,FRAUD_DETECTED,Suspected fraudulent transaction
TXN100016,PAY100016,MRC001,10000,INR,NEFT,SUCCESS,2026-09-04T08:45:00,GW26828,,
TXN100017,PAY100017,MRC005,1500,INR,IMPS,SUCCESS,2026-09-04T08:48:00,GW79163,,
TXN100018,PAY100018,MRC002,10000,INR,NEFT,SUCCESS,2026-09-04T08:51:00,GW50857,,
TXN100019,PAY100019,MRC003,7500,INR,WALLET,SUCCESS,2026-09-04T08:54:00,GW69177,,
TXN100020,PAY100020,MRC002,2000,INR,UPI,SUCCESS,2026-09-04T08:57:00,GW54313,,
TXN100021,PAY100021,MRC005,2000,INR,WALLET,SUCCESS,2026-09-04T09:00:00,GW38864,,
TXN100022,PAY100022,MRC001,2000,INR,UPI,SUCCESS,2026-09-04T09:03:00,GW14117,,
TXN100023,PAY100023,MRC005,2000,INR,IMPS,SUCCESS,2026-09-04T09:06:00,GW97684,,
TXN100024,PAY100024,MRC005,1500,INR,WALLET,PENDING,2026-09-04T09:09:00,GW85525,,
TXN100025,PAY100025,MRC004,2000,INR,CARD,SUCCESS,2026-09-04T09:12:00,GW63354,,
TXN100026,PAY100026,MRC001,1000,INR,CARD,SUCCESS,2026-09-04T09:15:00,GW56438,,
TXN100027,PAY100027,MRC004,500,INR,UPI,SUCCESS,2026-09-04T09:18:00,GW17944,,
TXN100028,PAY100028,MRC001,2000,INR,NEFT,SUCCESS,2026-09-04T09:21:00,GW34931,,
TXN100029,PAY100029,MRC002,5000,INR,NEFT,SUCCESS,2026-09-04T09:24:00,GW46509,,
TXN100030,PAY100030,MRC001,7500,INR,WALLET,SUCCESS,2026-09-04T09:27:00,GW22833,,
TXN100031,PAY100031,MRC005,500,INR,UPI,SUCCESS,2026-09-04T09:30:00,GW40982,,
TXN100032,PAY100032,MRC004,7500,INR,NEFT,SUCCESS,2026-09-04T09:33:00,GW62565,,
TXN100033,PAY100033,MRC004,500,INR,CARD,SUCCESS,2026-09-04T09:36:00,GW44760,,
TXN100034,PAY100034,MRC004,10000,INR,CARD,FAILED,2026-09-04T09:39:00,GW30289,INSUFFICIENT_FUNDS,Customer has insufficient funds
TXN100035,PAY100035,MRC003,2000,INR,UPI,SUCCESS,2026-09-04T09:42:00,GW85914,,
TXN100036,PAY100036,MRC001,3000,INR,UPI,SUCCESS,2026-09-04T09:45:00,GW16572,,
TXN100037,PAY100037,MRC005,10000,INR,NEFT,CANCELLED,2026-09-04T09:48:00,GW17455,,
TXN100038,PAY100038,MRC005,1000,INR,NEFT,SUCCESS,2026-09-04T09:51:00,GW18981,,
TXN100039,PAY100039,MRC002,5000,INR,UPI,SUCCESS,2026-09-04T09:54:00,GW84668,,
TXN100040,PAY100040,MRC005,500,INR,WALLET,SUCCESS,2026-09-04T09:57:00,GW20745,,
TXN100041,PAY100041,MRC005,15000,INR,WALLET,SUCCESS,2026-09-04T10:00:00,GW51467,,
TXN100042,PAY100042,MRC003,2000,INR,IMPS,SUCCESS,2026-09-04T10:03:00,GW61876,,
TXN100043,PAY100043,MRC003,7500,INR,IMPS,SUCCESS,2026-09-04T10:06:00,GW19508,,
TXN100044,PAY100044,MRC005,15000,INR,UPI,SUCCESS,2026-09-04T10:09:00,GW19602,,
TXN100045,PAY100045,MRC005,2500,INR,NEFT,SUCCESS,2026-09-04T10:12:00,GW55745,,
TXN100046,PAY100046,MRC003,2500,INR,NEFT,FAILED,2026-09-04T10:15:00,GW67433,INVALID_CARD,Invalid card number provided
TXN100047,PAY100047,MRC003,15000,INR,WALLET,SUCCESS,2026-09-04T10:18:00,GW11025,,
TXN100048,PAY100048,MRC003,25000,INR,UPI,SUCCESS,2026-09-04T10:21:00,GW27601,,
TXN100049,PAY100049,MRC001,10000,INR,NEFT,SUCCESS,2026-09-04T10:24:00,GW45697,,
TXN100050,PAY100050,MRC002,3000,INR,NEFT,SUCCESS,2026-09-04T10:27:00,GW93130,,
TXN100051,PAY100051,MRC004,2500,INR,UPI,CANCELLED,2026-09-04T10:30:00,GW22097,,
TXN100052,PAY100052,MRC004,2500,INR,UPI,SUCCESS,2026-09-04T10:33:00,GW10464,,
TXN100053,PAY100053,MRC003,1500,INR,CARD,SUCCESS,2026-09-04T10:36:00,GW82309,,
TXN100054,PAY100054,MRC001,1000,INR,UPI,SUCCESS,2026-09-04T10:39:00,GW29536,,
TXN100055,PAY100055,MRC003,15000,INR,WALLET,SUCCESS,2026-09-04T10:42:00,GW29410,,
TXN100056,PAY100056,MRC001,2500,INR,IMPS,SUCCESS,2026-09-04T10:45:00,GW15229,,
TXN100057,PAY100057,MRC002,25000,INR,UPI,SUCCESS,2026-09-04T10:48:00,GW56357,,
TXN100058,PAY100058,MRC005,1500,INR,NEFT,FAILED,2026-09-04T10:51:00,GW31299,INSUFFICIENT_FUNDS,Customer has insufficient funds
TXN100059,PAY100059,MRC004,500,INR,NEFT,SUCCESS,2026-09-04T10:54:00,GW53540,,
TXN100060,PAY100060,MRC002,2500,INR,NEFT,SUCCESS,2026-09-04T10:57:00,GW24168,,
TXN100061,PAY100061,MRC004,2000,INR,NEFT,SUCCESS,2026-09-04T11:00:00,GW70332,,
TXN100062,PAY100062,MRC002,2000,INR,UPI,SUCCESS,2026-09-04T11:03:00,GW96511,,
TXN100063,PAY100063,MRC003,2500,INR,UPI,SUCCESS,2026-09-04T11:06:00,GW46585,,
TXN100064,PAY100064,MRC005,5000,INR,WALLET,FAILED,2026-09-04T11:09:00,GW53404,FRAUD_DETECTED,Suspected fraudulent transaction
TXN100065,PAY100065,MRC001,2500,INR,NEFT,SUCCESS,2026-09-04T11:12:00,GW86099,,
TXN100066,PAY100066,MRC001,1000,INR,WALLET,SUCCESS,2026-09-04T11:15:00,GW66959,,
TXN100067,PAY100067,MRC004,15000,INR,WALLET,SUCCESS,2026-09-04T11:18:00,GW25157,,
TXN100068,PAY100068,MRC005,2000,INR,IMPS,SUCCESS,2026-09-04T11:21:00,GW15817,,
TXN100069,PAY100069,MRC005,10000,INR,NEFT,SUCCESS,2026-09-04T11:24:00,GW57739,,
TXN100070,PAY100070,MRC001,25000,INR,IMPS,SUCCESS,2026-09-04T11:27:00,GW91678,,
TXN100071,PAY100071,MRC001,2500,INR,WALLET,SUCCESS,2026-09-04T11:30:00,GW50538,,
TXN100072,PAY100072,MRC003,5000,INR,IMPS,PENDING,2026-09-04T11:33:00,GW82667,,
TXN100073,PAY100073,MRC002,2000,INR,CARD,SUCCESS,2026-09-04T11:36:00,GW97153,,
TXN100074,PAY100074,MRC002,15000,INR,WALLET,SUCCESS,2026-09-04T11:39:00,GW49446,,
TXN100075,PAY100075,MRC005,500,INR,IMPS,SUCCESS,2026-09-04T11:42:00,GW47606,,
TXN100076,PAY100076,MRC005,15000,INR,IMPS,SUCCESS,2026-09-04T11:45:00,GW70946,,
TXN100077,PAY100077,MRC004,25000,INR,NEFT,SUCCESS,2026-09-04T11:48:00,GW77000,,
TXN100078,PAY100078,MRC001,2500,INR,WALLET,FAILED,2026-09-04T11:51:00,GW97012,INVALID_CARD,Invalid card number provided
TXN100079,PAY100079,MRC005,3000,INR,UPI,SUCCESS,2026-09-04T11:54:00,GW40784,,
TXN100080,PAY100080,MRC002,2000,INR,NEFT,SUCCESS,2026-09-04T11:57:00,GW13201,,
TXN100081,PAY100081,MRC002,7500,INR,WALLET,FAILED,2026-09-04T12:00:00,GW19545,CARD_DECLINED,Card was declined by issuing bank
TXN100082,PAY100082,MRC004,25000,INR,WALLET,SUCCESS,2026-09-04T12:03:00,GW35485,,
TXN100083,PAY100083,MRC004,2000,INR,NEFT,SUCCESS,2026-09-04T12:06:00,GW95990,,
TXN100084,PAY100084,MRC004,2000,INR,NEFT,SUCCESS,2026-09-04T12:09:00,GW77889,,
TXN100085,PAY100085,MRC005,2000,INR,UPI,CANCELLED,2026-09-04T12:12:00,GW69829,,
TXN100086,PAY100086,MRC002,7500,INR,WALLET,SUCCESS,2026-09-04T12:15:00,GW83259,,
TXN100087,PAY100087,MRC004,15000,INR,WALLET,SUCCESS,2026-09-04T12:18:00,GW65933,,
TXN100088,PAY100088,MRC002,7500,INR,CARD,SUCCESS,2026-09-04T12:21:00,GW43972,,
TXN100089,PAY100089,MRC003,10000,INR,CARD,SUCCESS,2026-09-04T12:24:00,GW92149,,
TXN100090,PAY100090,MRC004,1000,INR,IMPS,FAILED,2026-09-04T12:27:00,GW40735,CARD_DECLINED,Card was declined by issuing bank
TXN100091,PAY100091,MRC003,3000,INR,WALLET,SUCCESS,2026-09-04T12:30:00,GW20561,,
TXN100092,PAY100092,MRC002,5000,INR,NEFT,SUCCESS,2026-09-04T12:33:00,GW38043,,
TXN100093,PAY100093,MRC004,3000,INR,WALLET,SUCCESS,2026-09-04T12:36:00,GW71069,,
TXN100094,PAY100094,MRC002,5000,INR,CARD,SUCCESS,2026-09-04T12:39:00,GW86556,,
TXN100095,PAY100095,MRC004,7500,INR,UPI,SUCCESS,2026-09-04T12:42:00,GW56105,,
TXN100096,PAY100096,MRC004,10000,INR,WALLET,SUCCESS,2026-09-04T12:45:00,GW89069,,
TXN100097,PAY100097,MRC002,2500,INR,CARD,PENDING,2026-09-04T12:48:00,GW73654,,
TXN100098,PAY100098,MRC001,5000,INR,IMPS,SUCCESS,2026-09-04T12:51:00,GW97670,,
TXN100099,PAY100099,MRC002,7500,INR,NEFT,SUCCESS,2026-09-04T12:54:00,GW91560,,
TXN100100,PAY100100,MRC004,15000,INR,WALLET,SUCCESS,2026-09-04T12:57:00,GW96900,,
